state,county,netprice
Texas,Shackelford County,56308.9623
California,Siskiyou County,2959.5016
Texas,Coryell County,163716.8142
Texas,Kimble County,8126.7334
Texas,Comal County,95509.3316
Oklahoma,Canadian County,8750.0
Texas,Grimes County,15030.3232
Texas,Borden County,1450.0523
Oklahoma,Harper County,1368.6728
Tennessee,Rhea County,11761.7647
Texas,Castro County,3214.7684
Wisconsin,Saint Croix County,10204.6036
Texas,Karnes County,8524.7725
Louisiana,Saint Martin Parish,22412.7665
Texas,Bexar County,71216.9875
North Carolina,Dare County,17588.2353
Arkansas,Baxter County,14110.729
Texas,Medina County,8275.7054
Louisiana,Calcasieu Parish,27967.561
Oklahoma,Garfield County,14700.7422
Montana,Rosebud County,474.8982
Louisiana,Vernon Parish,6096.1815
Texas,Williamson County,51379.1483
New York,Richmond County,8556.0642
Louisiana,Beauregard Parish,7775.1115
Texas,Dimmit County,2521.3186
New York,Chenango County,1824.3243
Texas,Gillespie County,22742.7044
Oklahoma,Roger Mills County,1853.3554
Texas,Dickens County,954.1803
Texas,Jackson County,5009.2133
Texas,Kerr County,13507.7602
Texas,Burleson County,11158.729
Oklahoma,Washita County,6219.631
Texas,Collin County,218762.8997
Louisiana,St John The Baptist Parish,34604.2271
Arkansas,Randolph County,2126.5749
Louisiana,Union Parish,3903.1408
Texas,Newton County,3947.3154
Louisiana,Iberia Parish,130246.636
Texas,Sabine County,3000.0
Louisiana,Terrebonne Parish,60870.1262
Texas,Atascosa County,13055.8697
Texas,Lipscomb County,3474.2943
Nebraska,Lancaster County,9983.3611
Arkansas,Izard County,3290.6192
Texas,Floyd County,954.8315
Oklahoma,Cleveland County,70778.2003
South Dakota,Custer County,214843.75
Missouri,Stoddard County,40860.2151
Texas,Donley County,1293.0194
Texas,Armstrong County,3321.0108
Texas,Ward County,21091.8919
Texas,Sherman County,1413.9959
Louisiana,Jefferson Davis Parish,8231.3888
Colorado,Cheyenne County,0.0001
Oklahoma,Alfalfa County,2464.6368
Tennessee,Lewis County,3533.5062
Oklahoma,McClain County,2750.0
Texas,Jones County,4687.4359
Texas,Kleberg County,29153.7278
Texas,Refugio County,5462.1137
Texas,Jim Hogg County,2946.1356
Louisiana,Madison Parish,2903.5659
Missouri,Ozark County,2758.6207
Arkansas,Union County,137339.0558
Texas,Moore County,2617.4554
Louisiana,Richland Parish,4203.765
Mississippi,Adams County,2777.7778
Texas,Wharton County,7160.9734
Louisiana,Franklin Parish,3465.4604
Louisiana,Avoyelles Parish,7129.6151
Texas,Motley County,851.9949
Texas,Carson County,2596.3898
New York,Putnam County,49552.8199
Texas,Mitchell County,1420.9061
Texas,Live Oak County,5215.2394
Texas,Fayette County,15490.898
Arkansas,Franklin County,2666.8822
Texas,Van Zandt County,14471.2505
Louisiana,Pointe Coupee Parish,127027.027
Texas,Galveston County,180189.422
Texas,Kenedy County,1216.0804
North Carolina,Person County,5208.6957
Texas,Harris County,203969.4659
Texas,Kendall County,28231.201
Arkansas,Cleburne County,42279.6698
Louisiana,Cameron Parish,2603.252
Oklahoma,Custer County,5141.7782
Texas,Andrews County,5450.0494
