state,county,netprice
Louisiana,Evangeline Parish,6097.8762
New York,Dutchess County,255577.6
Louisiana,Saint Mary Parish,154694.7822
Louisiana,Rapides Parish,35982.6981
California,Siskiyou County,2959.5016
Louisiana,Saint Helena Parish,4148.8525
Louisiana,Jackson Parish,2818.5026
Arkansas,Independence County,14418.2347
Oklahoma,Canadian County,8750.0
Colorado,Gunnison County,2566.3717
Louisiana,Morehouse Parish,2579.3548
Louisiana,West Carroll Parish,2799.2116
Louisiana,Jefferson Parish,198598.6424
Texas,Wise County,5800.0
Oklahoma,Harper County,1368.6728
Louisiana,Washington Parish,5443.8659
Florida,Lake County,64489.2473
Tennessee,Rhea County,11761.7647
Arkansas,Boone County,7410.8939
Louisiana,Acadia Parish,3417.7736
Arkansas,Faulkner County,9705.5177
Louisiana,East Feliciana Parish,6819.1965
Wisconsin,Saint Croix County,10204.6036
Louisiana,Saint Martin Parish,22412.7665
North Carolina,Dare County,17588.2353
Arkansas,Baxter County,14110.729
Colorado,Costilla County,2930.5913
Oklahoma,Okmulgee County,6948.3964
Oklahoma,Creek County,7380.4611
Oklahoma,Grant County,1112.5493
Louisiana,Calcasieu Parish,27967.561
Illinois,Madison County,14834.6991
Oklahoma,Garfield County,14700.7422
Montana,Rosebud County,474.8982
Louisiana,La Salle Parish,3952.7783
Arkansas,Marion County,5864.4142
Missouri,Dallas County,6207.5472
Louisiana,Vernon Parish,6096.1815
Louisiana,Concordia Parish,25116.6966
North Carolina,Henderson County,7500.0
Oklahoma,Noble County,804.8692
Wyoming,Platte County,1657.6644
New York,Richmond County,8556.0642
Louisiana,Lincoln Parish,5864.7279
Louisiana,Beauregard Parish,7775.1115
Oklahoma,Harmon County,1125.0
New York,Chenango County,1824.3243
Arkansas,Newton County,3491.6149
Texas,Gillespie County,11068.3761
Oklahoma,Jefferson County,11363.6364
Oklahoma,Roger Mills County,1853.3554
Mississippi,Attala County,2400.0
Texas,Blanco County,70000.0
Oklahoma,Washita County,6219.631
Louisiana,Tensas Parish,3156.0284
Louisiana,De Soto Parish,6799.2095
Louisiana,St John The Baptist Parish,34604.2271
Arkansas,Randolph County,2126.5749
Louisiana,Union Parish,3903.1408
Louisiana,Iberia Parish,130246.636
California,San Diego County,152698.6551
Texas,Henderson County,550000.0
New York,Westchester County,366406.1949
New York,Albany County,269.0362
Louisiana,East Baton Rouge Parish,24347.752
Arkansas,Sharp County,6528.3796
Louisiana,Terrebonne Parish,60870.1262
Oklahoma,Beaver County,1450.7809
Oklahoma,Rogers County,22588.7317
Louisiana,Allen Parish,4683.6908
Arkansas,Searcy County,3314.575
Nebraska,Lancaster County,9983.3611
Arkansas,Izard County,3290.6192
Missouri,Gasconade County,3288.1579
Arkansas,Washington County,78335.5758
Louisiana,Ouachita Parish,10958.4516
Louisiana,Saint Landry Parish,33963.2162
Arizona,Santa Cruz County,1666.6667
Oklahoma,Woodward County,1780.4227
Mississippi,Pearl River County,1900.0
Oklahoma,Woods County,2707.1854
California,San Luis Obispo County,3176.6754
Oklahoma,Cleveland County,70778.2003
New York,Lewis County,61800.0
South Dakota,Custer County,214843.75
Missouri,Stoddard County,40860.2151
Oklahoma,Major County,3294.3461
Colorado,Crowley County,758.0357
Oklahoma,Tulsa County,84460.1863
Louisiana,Plaquemines Parish,193832.4421
Kentucky,Henderson County,8454.5455
Georgia,Clayton County,30921.0526
Oregon,Lane County,9254.5315
Oklahoma,Beckham County,6492.901
Oklahoma,Osage County,3000.0512
Louisiana,Jefferson Davis Parish,8231.3888
Oklahoma,Blaine County,4251.5822
Oklahoma,Oklahoma County,94009.8619
Arkansas,Jackson County,179329.6089
Colorado,Cheyenne County,0.0001
Oklahoma,Alfalfa County,2464.6368
Tennessee,Lewis County,3533.5062
Missouri,Wright County,3966.6667
Oklahoma,McClain County,2750.0
Arkansas,Stone County,9469.2557
California,Plumas County,25253.3784
Arkansas,Poinsett County,23125.5103
Missouri,Laclede County,13830.7692
California,Calaveras County,3947.3684
Louisiana,Livingston Parish,25948.2741
Arkansas,Lawrence County,45691.2638
Oklahoma,Nowata County,2755.3286
Oklahoma,Cotton County,1902.1739
Louisiana,Madison Parish,2903.5659
Oklahoma,Comanche County,2750.0
Missouri,Ozark County,2758.6207
Louisiana,Lafayette Parish,113362.4859
Arkansas,Fulton County,4092.6063
Arkansas,Union County,137339.0558
Louisiana,East Carroll Parish,513.1888
Oklahoma,Payne County,8214.4734
Wisconsin,Buffalo County,8417.5084
Oklahoma,Dewey County,2062.8779
Louisiana,Richland Parish,4203.765
Louisiana,Orleans Parish,4834.3976
Mississippi,Adams County,2777.7778
South Dakota,Hughes County,6128.8755
Louisiana,Vermilion Parish,21773.604
Arkansas,Carroll County,13662.5077
Arkansas,Van Buren County,2108.3411
Louisiana,Franklin Parish,3465.4604
Louisiana,Avoyelles Parish,7129.6151
New York,Bronx County,379821.2855
Louisiana,Catahoula Parish,3198.116
New Mexico,Rio Arriba County,3499.8
New York,Putnam County,49552.8199
Arkansas,Dallas County,46219.5122
Louisiana,West Baton Rouge Parish,550673.4748
Oklahoma,Mayes County,33399.2974
Louisiana,Caldwell Parish,8892.994
Arkansas,Franklin County,2666.8822
Louisiana,Saint Charles Parish,19506.8949
Wisconsin,Columbia County,0.085
Louisiana,Tangipahoa Parish,24943.226
Louisiana,Pointe Coupee Parish,127027.027
New York,New York County,15344.219
Louisiana,Ascension Parish,480759.7243
Arkansas,Benton County,127461.1029
Arkansas,Calhoun County,3051.8246
Louisiana,Assumption Parish,66480.8153
Tennessee,Blount County,18558.952
North Carolina,Person County,5208.6957
Oklahoma,Kingfisher County,4925.3066
Utah,Sanpete County,51238.0952
Arkansas,Cleburne County,42279.6698
Arkansas,Grant County,40625.0
Louisiana,Cameron Parish,2603.252
Oklahoma,Logan County,225480.1715
New Mexico,Cibola County,1964.2857
Oklahoma,Custer County,5141.7782
Louisiana,Saint James Parish,514705.8824
New York,Columbia County,60192.6164
Oklahoma,Pawnee County,4540.9186
Oklahoma,Cimarron County,750.0
North Carolina,Rutherford County,4300.0
Oklahoma,Kiowa County,7865.5472
Oklahoma,Ellis County,1444.7672
Louisiana,Saint Bernard Parish,141422.6519
Oklahoma,Tillman County,718932.0388
Oklahoma,Wagoner County,46034.8624
Oklahoma,Lincoln County,3791.8138
Louisiana,Lafourche Parish,17774.6824
Oregon,Jackson County,35717.5192
Mississippi,Tate County,4000.0
Missouri,Texas County,7470.0855
Oklahoma,Texas County,2092.5779
Louisiana,Saint Tammany Parish,45862.8977
Oklahoma,Washington County,7583.0559
Georgia,Chattahoochee County,1995.0125
