state,county,netprice
Virginia,Roanoke County,7784.1679
Wisconsin,Door County,48665.3581
Iowa,Marion County,9975.3553
Colorado,Huerfano County,2720.0402
Tennessee,Lincoln County,14283.9138
Pennsylvania,York County,85808.225
Texas,Karnes County,8498.92
North Carolina,McDowell County,22312.7066
Georgia,Gilmer County,27968.9123
Virginia,Buena Vista City County,2673.1108
Nebraska,Sioux County,1512.5947
Maryland,Saint Mary's County,81960.7164
Illinois,Tazewell County,42421.7206
Minnesota,Washington County,109456.0629
Louisiana,St John The Baptist Parish,37431.4635
Michigan,Houghton County,10415.7882
Arkansas,Izard County,3378.1388
Wyoming,Sweetwater County,1407.8548
Illinois,Clinton County,27030.5186
Arizona,Navajo County,2176.067
Colorado,Ouray County,11906.2495
Missouri,Bollinger County,3379.6604
Oklahoma,McClain County,17216.9066
Texas,Refugio County,5497.0375
Pennsylvania,Jefferson County,21480.598
Georgia,Jones County,13624.1816
Missouri,Schuyler County,3684.9544
South Carolina,Union County,3930.9879
Indiana,Shelby County,54376.9582
Minnesota,Aitkin County,10615.5409
Montana,Sanders County,8627.8754
Missouri,Macon County,3042.1217
North Dakota,Burleigh County,8336.0498
Georgia,Wayne County,4421.1644
North Carolina,Lincoln County,54754.391
Illinois,Franklin County,7833.2806
Arkansas,Arkansas County,6780.6156
Georgia,Schley County,4257.0445
New Mexico,Quay County,3868.2201
Idaho,Boundary County,18214.1709
Arkansas,Independence County,12570.844
Oklahoma,Ottawa County,17328.3279
Arkansas,Boone County,7459.5272
Arkansas,Faulkner County,16931.7608
Iowa,Mills County,15632.4822
Montana,Big Horn County,1130.3039
North Carolina,Northampton County,9845.0706
Michigan,Kalamazoo County,78871.6043
Alabama,Lee County,14641.0577
Iowa,Linn County,38403.8427
Tennessee,Jackson County,5165.2229
Kansas,Haskell County,170633.2454
South Dakota,Aurora County,5257.1325
Iowa,Monroe County,4168.1653
Michigan,Macomb County,87329.7501
Texas,Kinney County,3003.9905
Colorado,San Juan County,5595.2264
Utah,Iron County,18244.326
Florida,Putnam County,14187.8018
