state,county,netprice
Oregon,Klamath County,34569.56521739135
Texas,Wilbarger County,2500.000000000001
Texas,Stonewall County,12130.434782608696
Missouri,Saint Charles County,9512.195121953402
Texas,Washington County,64220.18348628545
Texas,Houston County,8901.878114211766
Colorado,Costilla County,1431.5352697095393
Oregon,Josephine County,28842.603277149035
Texas,Wilbarger County,2500.0000000000014
Oregon,Klamath County,34569.565217391355
Texas,Edwards County,3688.2472575835054
Washington,Stevens County,7500
Texas,Wilbarger County,2499.9999999999977
Kentucky,Ballard County,2815.065185904202
Texas,Edwards County,3688.247257583534
Missouri,Mercer County,3195
Colorado,Costilla County,1431.535269709545
Tennessee,Dickson County,7273.785277858468
Oregon,Harney County,24999.99999997792
Florida,Hardee County,6734.693877551021
Texas,Atascosa County,5720.5616629150545
Arkansas,Chicot County,31147.058823517713
Colorado,Weld County,50636.94267521681
Texas,Edwards County,3688.247257583535
Alabama,Shelby County,10500
Texas,Bee County,6886.666666666667
Arkansas,Chicot County,31147.05882351771
Missouri,Saint Charles County,9512.195121953404
Texas,Wilbarger County,2500.0000000000005
Texas,Wilbarger County,2500.000000000002
Tennessee,Dickson County,7273.785277858467
Minnesota,Clay County,0.16666666666666666
Texas,Washington County,64220.18348628554
Texas,Washington County,64220.18348630279
Texas,Gillespie County,18516.83348499825
Texas,Washington County,64220.1834863029
Texas,Washington County,64220.18348628681
Oklahoma,Seminole County,2500
Texas,Edwards County,3688.2472575835322
Colorado,Costilla County,1431.53526970954
North Carolina,Beaufort County,3532.2580645161293
New York,Otsego County,2413.970588235294
North Dakota,Wells County,0.002053388090349076
Texas,Washington County,64220.18348630291
Texas,Bexar County,10500
Colorado,Costilla County,1431.5352697095398
Virginia,Franklin County,9836.065573770491
Wisconsin,Jackson County,8125
Texas,Washington County,64220.183486286754
Kansas,Pottawatomie County,3022.008558886734
Texas,Wilbarger County,2499.9999999999973
Oregon,Klamath County,34569.56521739126
Colorado,Weld County,50636.942675216815
