lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
409872585,"",Jourdanton,Texas,Atascosa County,78026,149000,23,6478,https://www.landwatch.com/atascosa-county-county-texas-farms-and-ranches-for-sale/pid/409872585,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.406472+00,2021-04-07 10:07:33.40649+00
409872584,"",Rocksprings,Texas,Edwards County,78880,287000,82,3500,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409872584,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.409729+00,2021-04-07 10:07:33.409746+00
409874278,"",Rocksprings,Texas,Edwards County,78880,238500,53,4500,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409874278,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.413097+00,2021-04-07 10:07:33.413117+00
409872587,"",Rocksprings,Texas,Edwards County,78880,210000,60,3500,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409872587,Farms and Ranches Undeveloped Land Hunting Property,Active,2021-04-07 10:07:33.418961+00,2021-04-07 10:07:33.418982+00
409869502,"",Rocksprings,Texas,Edwards County,78880,75000,25,3000,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409869502,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.423274+00,2021-04-07 10:07:33.423296+00
409872591,"",Jourdanton,Texas,Atascosa County,78026,249000,37,6729,https://www.landwatch.com/atascosa-county-county-texas-farms-and-ranches-for-sale/pid/409872591,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.425886+00,2021-04-07 10:07:33.425905+00
409872585,"",Jourdanton,Texas,Atascosa County,78026,149000,23,6478,https://www.landwatch.com/atascosa-county-county-texas-farms-and-ranches-for-sale/pid/409872585,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.41219+00,2021-04-07 10:07:33.41221+00
409872584,"",Rocksprings,Texas,Edwards County,78880,287000,82,3500,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409872584,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.415743+00,2021-04-07 10:07:33.415763+00
409874278,"",Rocksprings,Texas,Edwards County,78880,238500,53,4500,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409874278,Farms and Ranches Recreational Property Hunting Property,Active,2021-04-07 10:07:33.418266+00,2021-04-07 10:07:33.418283+00
409872587,"",Rocksprings,Texas,Edwards County,78880,210000,60,3500,https://www.landwatch.com/edwards-county-county-texas-farms-and-ranches-for-sale/pid/409872587,Farms and Ranches Undeveloped Land Hunting Property,Active,2021-04-07 10:07:33.422346+00,2021-04-07 10:07:33.422367+00
